,probabilidad,promedios,varianzas
0,0.01,0.0,0.0
1,0.02,0.0,0.0
2,0.03,0.0,0.0
3,0.04,0.0,0.0
4,0.05,0.0,0.0
5,0.06,0.0,0.0
6,0.07,0.0,0.0
7,0.08,0.0,0.0
8,0.09,0.0005,0.0004997500000000003
9,0.1,0.001,0.0009990000000000003
10,0.11,0.0015,0.0014977500000000002
11,0.12,0.003,0.0029910000000000006
12,0.13,0.003,0.0029910000000000006
13,0.14,0.004,0.0039840000000000006
14,0.15,0.0065,0.006457750000000001
15,0.16,0.012,0.011856000000000002
16,0.17,0.0135,0.013317750000000005
17,0.18,0.016,0.015744000000000005
18,0.19,0.017,0.016711
19,0.2,0.019,0.018638999999999996
20,0.21,0.022,0.021516000000000004
21,0.22,0.0255,0.024849749999999997
22,0.23,0.029,0.028159
23,0.24,0.035,0.033775000000000006
24,0.25,0.0405,0.038859750000000005
25,0.26,0.045,0.042975000000000006
26,0.27,0.049,0.046598999999999995
27,0.28,0.052,0.049296000000000006
28,0.29,0.062,0.05815599999999998
29,0.3,0.0705,0.06552974999999998
30,0.31,0.081,0.07443900000000002
31,0.32,0.0915,0.08312774999999999
32,0.33,0.098,0.08839599999999997
33,0.34,0.1055,0.09436974999999999
34,0.35,0.1205,0.10597974999999997
35,0.36,0.133,0.11531099999999998
36,0.37,0.1455,0.12432974999999998
37,0.38,0.161,0.13507899999999998
38,0.39,0.175,0.14437499999999998
39,0.4,0.193,0.155751
40,0.41,0.209,0.16531900000000002
41,0.42,0.228,0.176016
42,0.43,0.2485,0.18674775000000005
43,0.44,0.268,0.196176
44,0.45,0.287,0.20463099999999998
45,0.46,0.307,0.21275100000000002
46,0.47,0.3285,0.22058775
47,0.48,0.358,0.229836
48,0.49,0.381,0.23583899999999994
49,0.5,0.4045,0.24087975000000003
50,0.51,0.423,0.24407100000000004
51,0.52,0.443,0.24675099999999991
52,0.53,0.463,0.24863099999999996
53,0.54,0.489,0.24987900000000002
54,0.55,0.51,0.24989999999999998
55,0.56,0.545,0.24797499999999997
56,0.57,0.5695,0.24516974999999994
57,0.58,0.596,0.24078400000000005
58,0.59,0.6145,0.23688974999999998
59,0.6,0.6355,0.23163975000000006
60,0.61,0.6535,0.22643775000000005
61,0.62,0.6725,0.22024375
62,0.63,0.696,0.21158400000000002
63,0.64,0.717,0.202911
64,0.65,0.737,0.19383100000000003
65,0.66,0.7585,0.18317774999999997
66,0.67,0.772,0.176016
67,0.68,0.79,0.16589999999999996
68,0.69,0.8115,0.15296775
69,0.7,0.8325,0.13944375000000003
70,0.71,0.857,0.12255100000000002
71,0.72,0.871,0.11235899999999999
72,0.73,0.882,0.10407600000000002
73,0.74,0.8955,0.09357974999999999
74,0.75,0.907,0.084351
75,0.76,0.918,0.07527599999999998
76,0.77,0.932,0.06337599999999999
77,0.78,0.9445,0.05241975
78,0.79,0.955,0.042975000000000006
79,0.8,0.965,0.033775000000000006
80,0.81,0.968,0.030976
81,0.82,0.9725,0.026743750000000004
82,0.83,0.9785,0.021037749999999994
83,0.84,0.986,0.013803999999999999
84,0.85,0.99,0.009899999999999999
85,0.86,0.993,0.006950999999999999
86,0.87,0.9955,0.004479750000000002
87,0.88,0.9955,0.004479750000000002
88,0.89,0.997,0.0029910000000000006
89,0.9,0.9985,0.00149775
90,0.91,0.999,0.0009990000000000003
91,0.92,0.9995,0.0004997500000000001
92,0.93,1.0,0.0
93,0.94,1.0,0.0
94,0.95,1.0,0.0
95,0.96,1.0,0.0
96,0.97,1.0,0.0
97,0.98,1.0,0.0
98,0.99,1.0,0.0
