L,p,F(p)
4,0.010000,0.000000
4,0.020000,0.000000
4,0.030000,0.000037
4,0.040000,0.000000
4,0.050000,0.000037
4,0.060000,0.000111
4,0.070000,0.000074
4,0.080000,0.000185
4,0.090000,0.000556
4,0.100000,0.000444
4,0.110000,0.000852
4,0.120000,0.001296
4,0.130000,0.001407
4,0.140000,0.002333
4,0.150000,0.002333
4,0.160000,0.003593
4,0.170000,0.005296
4,0.180000,0.006704
4,0.190000,0.006815
4,0.200000,0.009741
4,0.210000,0.011444
4,0.220000,0.014593
4,0.230000,0.017333
4,0.240000,0.019889
4,0.250000,0.026222
4,0.260000,0.028111
4,0.270000,0.034000
4,0.280000,0.038815
4,0.290000,0.044555
4,0.300000,0.051370
4,0.310000,0.060074
4,0.320000,0.066852
4,0.330000,0.073889
4,0.340000,0.083740
4,0.350000,0.093000
4,0.360000,0.107444
4,0.370000,0.118814
4,0.380000,0.128037
4,0.390000,0.137780
4,0.400000,0.156524
4,0.410000,0.174268
4,0.420000,0.187308
4,0.430000,0.205978
4,0.440000,0.218092
4,0.450000,0.231576
4,0.460000,0.256470
4,0.470000,0.278770
4,0.480000,0.297959
4,0.490000,0.315370
4,0.500000,0.337300
4,0.510000,0.355970
4,0.520000,0.386939
4,0.530000,0.401905
4,0.540000,0.429652
4,0.550000,0.452878
4,0.560000,0.474660
4,0.570000,0.503182
4,0.580000,0.520986
4,0.590000,0.550820
4,0.600000,0.577470
4,0.610000,0.592720
4,0.620000,0.620259
4,0.630000,0.644614
4,0.640000,0.663529
4,0.650000,0.688736
4,0.660000,0.715793
4,0.670000,0.731857
4,0.680000,0.754991
4,0.690000,0.777089
4,0.700000,0.797410
4,0.710000,0.813141
4,0.720000,0.830094
4,0.730000,0.848749
4,0.740000,0.866997
4,0.750000,0.880841
4,0.760000,0.897312
4,0.770000,0.907269
4,0.780000,0.920483
4,0.790000,0.930699
4,0.800000,0.942433
4,0.810000,0.948022
4,0.820000,0.957720
4,0.830000,0.964753
4,0.840000,0.973932
4,0.850000,0.976782
4,0.860000,0.983408
4,0.870000,0.986443
4,0.880000,0.989071
4,0.890000,0.992217
4,0.900000,0.994771
4,0.910000,0.996770
4,0.920000,0.997325
4,0.930000,0.998547
4,0.940000,0.998843
4,0.950000,0.999361
4,0.960000,0.999583
4,0.970000,0.999694
4,0.980000,0.999768
4,0.990000,0.999768
16,0.010000,0.000000
16,0.020000,0.000000
16,0.030000,0.000000
16,0.040000,0.000000
16,0.050000,0.000000
16,0.060000,0.000000
16,0.070000,0.000000
16,0.080000,0.000000
16,0.090000,0.000000
16,0.100000,0.000000
16,0.110000,0.000000
16,0.120000,0.000000
16,0.130000,0.000000
16,0.140000,0.000000
16,0.150000,0.000000
16,0.160000,0.000000
16,0.170000,0.000000
16,0.180000,0.000000
16,0.190000,0.000000
16,0.200000,0.000000
16,0.210000,0.000000
16,0.220000,0.000000
16,0.230000,0.000000
16,0.240000,0.000000
16,0.250000,0.000000
16,0.260000,0.000000
16,0.270000,0.000000
16,0.280000,0.000000
16,0.290000,0.000000
16,0.300000,0.000000
16,0.310000,0.000037
16,0.320000,0.000037
16,0.330000,0.000000
16,0.340000,0.000037
16,0.350000,0.000185
16,0.360000,0.000444
16,0.370000,0.000593
16,0.380000,0.001074
16,0.390000,0.001222
16,0.400000,0.002370
16,0.410000,0.003259
16,0.420000,0.004296
16,0.430000,0.008148
16,0.440000,0.012593
16,0.450000,0.017963
16,0.460000,0.023074
16,0.470000,0.035481
16,0.480000,0.046481
16,0.490000,0.062148
16,0.500000,0.082703
16,0.510000,0.105148
16,0.520000,0.140410
16,0.530000,0.175787
16,0.540000,0.216314
16,0.550000,0.265657
16,0.560000,0.317778
16,0.570000,0.381346
16,0.580000,0.439209
16,0.590000,0.501553
16,0.600000,0.559444
16,0.610000,0.621554
16,0.620000,0.684331
16,0.630000,0.738224
16,0.640000,0.789896
16,0.650000,0.834239
16,0.660000,0.876066
16,0.670000,0.906788
16,0.680000,0.925702
16,0.690000,0.946838
16,0.700000,0.965308
16,0.710000,0.974302
16,0.720000,0.982445
16,0.730000,0.988331
16,0.740000,0.993180
16,0.750000,0.995919
16,0.760000,0.997806
16,0.770000,0.998621
16,0.780000,0.999028
16,0.790000,0.999398
16,0.800000,0.999509
16,0.810000,0.999731
16,0.820000,0.999768
16,0.830000,0.999768
16,0.840000,0.999768
16,0.850000,0.999768
16,0.860000,0.999768
16,0.870000,0.999768
16,0.880000,0.999768
16,0.890000,0.999768
16,0.900000,0.999768
16,0.910000,0.999768
16,0.920000,0.999768
16,0.930000,0.999768
16,0.940000,0.999768
16,0.950000,0.999768
16,0.960000,0.999768
16,0.970000,0.999768
16,0.980000,0.999768
16,0.990000,0.999768
32,0.010000,0.000000
32,0.02
